name,speciality,average_score,hospital_name,city,state
"Dr. Matthew Duban, MD",Emergency Medicine,0,ST JOHNS HOSPITAL,Springfield,IL
"Dr. Aamir Banday, MD",Emergency Medicine,0,ST JOHNS HOSPITAL,Springfield,IL
"Dr. Kristen Ferguson, MD",Emergency Medicine,0,ST JOHNS HOSPITAL,Springfield,IL
"Dr. Chris Davlantes, MD",Emergency Medicine,0,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas City,KS
"Dr. Christopher McDowell, MD",Emergency Medicine,0,MEMORIAL MEDICAL CENTER,Springfield,IL
"Dr. Rose Haisler, DO",Emergency Medicine,0,OSF St Francis Med Ctr,Peoria,IL
"Dr. Donald Ford, MD",Family Medicine,0,UnityPoint Clinic,Cambridge,IL
"Dr. Kelly Deboer, MD",Family Medicine,5,Illinois Valley Community Hospital,Oglesby,IL
"Dr. Clinton Simpson, MD",Emergency Medicine,0,Susan B Allen Memorial Hospital,El Dorado,KS
"Dr. Edward Scovill, MD",Emergency Medicine,5,Ponca City Medical Center,Ponca City,OK
"Dr. Hassnain Syed, MD",Family Medicine,5,Morris Hospital,Ottawa,IL
"Dr. Chad Conklin, MD",Family Medicine,4.5,Pekin Hospital,Pekin,IL
"Dr. Sajid Khan, MD",Emergency Medicine,0,WESLEY MEDICAL CENTER,Wichita,KS
"Dr. Mark Deyoung, MD",Family Medicine,5,Knoxville Clinic,Knoxville,IL
"Dr. Robert Currie, MD",Family Medicine,5,Medical Arts Clinic,Galesburg,IL
"Dr. Robert Wagner, MD",Family Medicine,3,Medical Arts Clinic,Galesburg,IL
"Dr. Keith Peachey, MD",Family Medicine,4,Medical Arts Clinic,Galesburg,IL
"Dr. Jeffrey Hill, MD",Family Medicine,4,Medical Arts Clinic,Galesburg,IL
"Dr. John Coon, MD",Geriatric Medicine,0,METHODIST FAMILY MEDICAL CTR,Peoria,IL
"Dr. Elizabeth Puthenveetil, MD",Family Medicine,0,OSF Galesburg Clinic,Galesburg,IL
"Dr. Danesh Rahimi, MD",Geriatric Medicine,4,St. Mark's Senior Health Center,Salt Lake City,UT
"Dr. Cynthia Lawlor, MD",Geriatric Medicine,3.5,St. Mark's Senior Health Center,Salt Lake City,UT
"Dr. Conrad Caldwell III, MD",Emergency Medicine,0,Oklahoma Heart Hospital,Oklahoma City,OK
"Dr. Virginia Harr, MD",General Surgery,5,Southern Plains Medical Center,Chickasha,OK
"Dr. Rebecca Moore, MD",Geriatric Medicine,4.5,St. Mark's Senior Health Center,Salt Lake City,UT
"Dr. Richard Katseres, MD",General Surgery,4,Fox Rural Health Clinic,Childress,TX
"Dr. Linda Johnson, MD",General Surgery,5,Southern Plains Medical Center,Chickasha,OK
"Dr. Danesh Rahimi, MD",Geriatric Medicine,4,St. Mark's Senior Health Center,Salt Lake City,UT
"Dr. Steven Barnes, MD",Emergency Medicine,0,Oklahoma Heart Hospital,Oklahoma City,OK
"Dr. Michael Watson, MD",Emergency Medicine,3.5,Mercy Hospital,Oklahoma City,OK
"Dr. Ammar Jarrous, MD",Vascular Surgery,4.5,AMARILLO LASER AND VEIN CLINIC,Amarillo,TX
"Dr. John Rose, DO",Obstetrics & Gynecology,3,Knox Family Wellness Clinic,Knox City,TX
"Dr. Brent Mefford, MD",Emergency Medicine,0,Mercy Hospital,Oklahoma City,OK
"Dr. Ryan Bannon, MD",Obstetrics & Gynecology,5,Womens Clinic,Wichita Falls,TX
"Dr. Erin Garner, DO",Obstetrics & Gynecology,4,Abilene Diagnostic Clinic,Abilene,TX
"Dr. Flavia Horth, MD",Obstetrics & Gynecology,4,Womens Clinic,Wichita Falls,TX
"Dr. Jenny Wiggins-Smith, DO",Family Medicine,4.5,Shannon Clinic,San Angelo,TX
"Dr. Lourell Sutliff, MD",Obstetrics & Gynecology,4,Shannon Clinic,San Angelo,TX
"Dr. Gregory Dunham, MD",Obstetrics & Gynecology,5,Shannon Clinic,San Angelo,TX
"Dr. Kelly Wilson, MD",Obstetrics & Gynecology,5,Shannon Clinic,San Angelo,TX
"Dr. Jacob Ornelas, MD",Obstetrics & Gynecology,4.5,Shannon Clinic,San Angelo,TX
"Dr. Andre Desire, MD",Cardiology,3.5,Heart Clinic,Wichita Falls,TX
"Dr. Laura Adams, MD",Obstetrics & Gynecology,3.5,Shannon Clinic,San Angelo,TX
"Dr. Orloff Monaghan, MD",Obstetrics & Gynecology,0,Shannon Clinic,San Angelo,TX
"Dr. Cornelius Chinn, MD",Family Medicine,0,Shannon Clinic,San Angelo,TX
"Dr. Derrill Stuart Jr, MD",Family Medicine,4.5,Shannon Clinic,San Angelo,TX
"Dr. Michael Wagnon, DO",Family Medicine,3.5,Shannon Clinic,San Angelo,TX
"Dr. James Melott, MD",Family Medicine,5,Shannon Clinic,San Angelo,TX
"Dr. Gary Nussey, MD",Family Medicine,5,Shannon Clinic,San Angelo,TX
"Dr. Jack Campbell, MD",Emergency Medicine,5,Shannon Clinic,San Angelo,TX
"Dr. Leslie Westmoreland III, DO",Family Medicine,0,Shannon Clinic,San Angelo,TX
"Dr. Jay Reddy, MD",Nephrology,0,Wichita Falls kidney clinic,Wichita Falls,TX
"Dr. Scott Ross, MD",Family Medicine,0,Shannon Clinic,San Angelo,TX
"Dr. Samuel Kasberg, MD",Emergency Medicine,0,SAN ANGELO COMMUNITY MEDICAL CENTER,San Angelo,TX
"Dr. Kathie Horrace-Voigt, DO",Osteopathic Manipulative Therapy,0,SHANNON CLINIC,San Angelo,TX
"Dr. Craig Whiting, DO",Osteopathic Manipulative Therapy,0,White Clinic,San Saba,TX
"Dr. Mark Crouch, DO",Osteopathic Manipulative Therapy,5,Crouch Clinic,Hamilton,TX
"Dr. Nancy Eisen, DO",Osteopathic Manipulative Therapy,4.5,The Austin Diagnostic Clinic,Austin,TX
"Dr. Timothy Robins, MD",Internal Medicine,5,Central Texas Diagnostic Clinic,Round Rock,TX
"Dr. Robert Thoreson, DO",Osteopathic Manipulative Therapy,5,ROUND ROCK MEDICAL CLINIC,Austin,TX
"Dr. Rebecca Daley, DO",Osteopathic Manipulative Therapy,4.5,Fredericksburg Clinic,Fredericksburg,TX
"Dr. Alfred Hulse, DO",Osteopathic Manipulative Therapy,4.5,Family Medical Center,Fort Worth,TX
"Dr. Luther Martin, DO",Osteopathic Manipulative Therapy,3,Shannon Clinic,Sweetwater,TX
"Dr. David Wasserman, DO",Osteopathic Manipulative Therapy,5,LAKE TRAVIS MEDICAL CENTER,Austin,TX
"Dr. Joseph Wysoki, DO",Family Medicine,4,MacGregor Medical Center,San Antonio,TX
"Dr. Jeremy Smola, DO",Osteopathic Manipulative Therapy,0,Shannon Clinic,Sweetwater,TX
"Dr. Vandana Kamat, MD",Family Medicine,2.5,Community Action Health Center,Sinton,TX
"Dr. Jeffrey Johnson, DO",Family Medicine,2.5,Bayside Medical Center,Corpus Christi,TX
"Dr. Roderick Ekmark, MD",Family Medicine,3.5,Connally Memorial Urgent Care and Health Center,La Vernia,TX
"Dr. Jean Carr, MD",Family Medicine,4,Calallen Medical Clinic,Corpus Christi,TX
"Dr. Cecily Kelly, MD",Family Medicine,3.5,Kelly Family Clinic,New Braunfels,TX
"Dr. Leila Peterson, MD",Family Medicine,3.5,Connally Memorial Health Center,Floresville,TX
"Dr. Leigh Romero, MD",Sports Medicine,5,Wellmed Clinic,Austin,TX
"Dr. Carolyn Denton, DO",Osteopathic Manipulative Therapy,5,Parkside Family Clinic,Cuero,TX
"Dr. Delbert Edwardson, MD",Family Medicine,2,Medical Arts Clinic,Aransas Pass,TX
"Dr. James Mobley, MD",Family Medicine,1.5,Medical Arts Clinic,Aransas Pass,TX
"Dr. Eric Liu, MD",Emergency Medicine,3,ENLOE MEDICAL CENTER,Chico,CA
"Dr. Ben Moore Jr, MD",Emergency Medicine,0,NOVA MEDICAL CENTER,Corpus Christi,TX
"Dr. Jerry Gill, MD",Emergency Medicine,0,ENLOE MEDICAL CENTER,Chico,CA
"Dr. Keith Kinoshita, MD",Emergency Medicine,0,ENLOE MEDICAL CENTER,Chico,CA
"Dr. James Moore, MD",Emergency Medicine,0,ENLOE MEDICAL CENTER,Chico,CA
"Dr. Jeri Rose, DO",Emergency Medicine,3.5,Baptist St Anthonys Hospital,Amarillo,TX
"Dr. Mark Hayden, MD",Emergency Medicine,0,VALLEY BAPTIST MEDICAL CENTER,Harlingen,TX
"Dr. Hector Guerra Jr, MD",Emergency Medicine,0,VALLEY BAPTIST MEDICAL CENTER,Harlingen,TX
"Dr. Ada Cuellar, MD",Emergency Medicine,0,VALLEY BAPTIST MEDICAL CENTER,Harlingen,TX
"Dr. John McNeill, DO",Internal Medicine,5,Twin Fountains Walk-in Clinic,Port Lavaca,TX
"Dr. Andrew Lawrence, MD",Emergency Medicine,5,VALLEY BAPTIST MEDICAL CENTER,Harlingen,TX
"Dr. Ronald Johnson, MD",Emergency Medicine,3.5,Chico Immediate Care Med Ctr,Chico,CA
"Dr. Richard Arroyo-Diaz, MD",Internal Medicine,4.5,Port Lavaca Clinic,Port Lavaca,TX
"Dr. Leigh Falcon, MD",Internal Medicine,5,Port Lavaca Clinic,Port Lavaca,TX
"Dr. Thomas Curvin, MD",Emergency Medicine,0,Night Clinic,Laredo,TX
"Dr. Lee Shoop, MD",Family Medicine,2.5,Rolling Hills Clinic,Red Bluff,CA
"Dr. Richard Aldridge Jr, MD",Emergency Medicine,5,Dallas Regional Medical Center,Mesquite,TX
"Dr. David Lounsberry, MD",Internal Medicine,3.5,Oroville Hospital,Oroville,CA
"Dr. Michael Kammerman, MD",Hospital Medicine,5,Oroville Hospital,Oroville,CA
"Dr. Edwin Yuen, MD",Cosmetic Dermatology,1,Ocean Medical Clinic,San Francisco,CA
"Dr. Matthew Fine, MD",Pulmonology,5,Oroville Hospital,Oroville,CA
"Dr. Aaron Bowen, MD",Internal Medicine,5,Oroville Hospital,Oroville,CA
"Dr. Thomas Mundorff, MD",Geriatric Medicine,5,Oroville Hospital,Oroville,CA
"Dr. Hania Alaidroos, MD",Family Medicine,3.5,Arbor Green Family Medicine Clinic,Dallas,TX
"Dr. Melissa Keehn, DO",Hyperbaric Medicine,5,MAD RIVER COMMUNITY HOSPITAL,Arcata,CA
"Dr. Mee Yang, MD",Family Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Laurence Seaman, MD",Hospital Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Robert Schoene, MD",Critical Care Medicine,3,St. Mary's Medical Center,San Francisco,CA
"Dr. Michael Lieber, MD",Critical Care Medicine,0,St. Mary's Medical Center,San Francisco,CA
"Dr. Robert Schoene, MD",Critical Care Medicine,3,St. Mary's Medical Center,San Francisco,CA
"Dr. Juan Ferreris, MD",Pediatrics,5,Children's Hospital,San Antonio,TX
"Dr. Kelly Basaldua, MD",Pediatrics,5,University Health System,San Antonio,TX
"Dr. Roy Guerrero, MD",Pediatrics,4.5,South Texas Children's Clinic,Windcrest,TX
"Dr. Daniel Murphy Jr, MD",Pediatric Cardiology,5,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Jeffrey Feinstein, MD",Pediatric Cardiology,5,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Russell Hall III, MD",Dermatology,5,DUKE MEDICAL CTR,Durham,NC
"Dr. Sarah Myers, MD",Dermatology,5,DUKE MEDICAL CTR,Durham,NC
"Dr. Sanjay Vepa, MD",Pediatric Cardiology,5,Kaiser Permanente Pediatrics,Oakland,CA
"Dr. Lindsay Strowd, MD",Dermatology,4.5,Wake Forest Baptist Medical Center,Winston Salem,NC
"Dr. Stuart Berger, MD",Pediatric Cardiology,5,UC Davis Children's Hospital,Sacramento,CA
"Dr. Andrew Pelech, MD",Pediatric Cardiology,0,UC Davis Children's Hospital,Sacramento,CA
"Dr. Claude Burton, MD",Dermatology,5,DUKE MEDICAL CTR,Durham,NC
"Dr. Anna Roysman, MD",Pediatrics,3,Manzanita Medical Clinic,Carmichael,CA
"Dr. Philip Wakefield, MD",Dermatology,0,Carilion Clinic,Roanoke,VA
"Dr. Clay Pickard, MD",Dermatology,4,Carilion Clinic,Roanoke,VA
"Dr. David Axelrod, MD",Pediatric Cardiology,3,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Anne Dubin, MD",Pediatric Cardiology,4,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Clifford Chin, MD",Pediatric Cardiology,5,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Daniel Bernstein, MD",Pediatric Cardiology,5,Lucile Packard Child Hospital,Palo Alto,CA
"Dr. Scott McLean, MD",Clinical Genetics,5,Children's Hospital,San Antonio,TX
"Dr. Eiman Jahangir, MD",Cardiology,0,Kaiser Permanente Medical Group,Santa Rosa,CA
"Dr. Joshua Tardy, MD",Pediatrics,5,The Children's Clinic,San Antonio,TX
"Dr. Graham Hall, MD",Pediatrics,4.5,The Children's Clinic,San Antonio,TX
"Dr. Maria Blazo, MD",Clinical Genetics,0,White Memorial Hospital,Temple,TX
"Dr. Deborah Conway, MD",Maternal-Fetal Medicine,5,UT Medicine Women's Health Center,San Antonio,TX
"Dr. Jacqueline Sosa, MD",Pediatrics,4,King's Daughters Clinic,Temple,TX
"Dr. Roger Akins, DO",Developmental-Behavioral Pediatrics,5,NAVAL MEDICAL CENTER,Portsmouth,VA
"Dr. Ahmad Kayass, MD",Pediatrics,4.5,Tots N Teens Clinic,Mesquite,TX
"Dr. Elly Xenakis, MD",Maternal-Fetal Medicine,4.5,UT Medicine Women's Health Center,San Antonio,TX
"Dr. Holly Fatter, MD",Pediatrics,0,King's Daughters Clinic,Temple,TX
"Dr. Sharon Tucker, MD",Family Medicine,4.5,Baylor Family Health Center,Mesquite,TX
"Dr. Helenmari Merritt, DO",Cardiac Surgery,0,University Health System,San Antonio,TX
"Dr. Veronica Daly, MD",Developmental-Behavioral Pediatrics,0,Childrens Hospital,Oakland,CA
"Dr. John Chai, MD",Developmental-Behavioral Pediatrics,2,Kaiser Permanente Tustin Ranch Medical Offices U,Tustin,CA
"Dr. Lisa Snider, MD",Developmental-Behavioral Pediatrics,2.5,Kaiser Permanente Tustin Ranch Medical Offices U,Tustin,CA
"Dr. Jay Lee, MD",Developmental-Behavioral Pediatrics,0,Kaiser Permanente Tustin Ranch Medical Offices U,Tustin,CA
"Dr. Clay Skinner, MD",General Surgery,0,Skinner Clinic,San Antonio,TX
"Dr. John Corley, MD",Colon & Rectal Surgery,5,Surgical Clinic,Jackson,MS
"Dr. Booker King Jr, MD",Critical Care Surgery,0,San Antonio Mil Med Ctr,San Antonio,TX
"Dr. Jason Murphy, MD",General Surgery,4.5,Surgical Clinic,Jackson,MS
"Dr. Scott Berry, MD",General Surgery,4,Surgical Clinic,Jackson,MS
"Dr. Nathan Maples, MD",General Surgery,4,Surgical Clinic,Jackson,MS
"Dr. Thomas Wang, MD",General Surgery,5,UNIVERSITY OF ALABAMA HOSPITAL,Birmingham,AL
"Dr. Nicholas Jaszczak, MD",Critical Care Surgery,0,BROOKE ARMY MEDICAL HOSPITAL,Jbsa Ft Sam Houston,TX
"Dr. Vincent Ohaju, DO",Trauma Surgery,5,CHI St Joseph Health Regional Hospital,Bryan,TX
"Dr. Brian Williams, MD",Critical Care Surgery,0,UT SOUTHWESTERN MEDICAL CENTER,Dallas,TX
"Dr. Joseph Minei, MD",Critical Care Surgery,0,UT Southwestern Neurosurg Clinic,Dallas,TX
"Dr. Jane Nelson, MD",General Surgery,4,Austin Cancer Center,Austin,TX
"Dr. Melanie Hafford, MD",General Surgery,4.5,Surgical Clinic,Irving,TX
"Dr. Matthias Solomon, MD",Cosmetic Surgery,5,Solomon Clinic,Dallas,TX
"Dr. Caroline Coombs-Skiles, MD",General Surgery,5,Austin Cancer Center,Austin,TX
"Dr. Jane Nelson, MD",General Surgery,4,Austin Cancer Center,Austin,TX
"Dr. Helen Krontiras, MD",Oncology,3.5,UNIVERSITY OF ALABAMA HOSPITAL,Birmingham,AL
"Dr. Urmila Shende, MD",Pediatrics,5,Kaiser Permanente Medical Group,Santa Rosa,CA
"Dr. Russell Ronson, MD",General Surgery,3.5,Brookwood Medical Ctr,Birmingham,AL
"Dr. Mimi Smith, MD",General Surgery,4,Brookwood Medical Ctr,Birmingham,AL
"Dr. David Goodman, MD",Preventive Medicine,5,Sunday Medical Clinic,Corte Madera,CA
"Dr. Robert Heidepriem III, MD",General Surgery,5,Brookwood Medical Ctr,Birmingham,AL
"Dr. Amy Brewer, MD",Pediatrics,5,Scott and White Waco Clinic,Waco,TX
"Dr. Lee Ozaeta, MD",Family Medicine,3,Kaiser Permanente Daly City Fam,Daly City,CA
"Dr. James Rubenstein, MD",Hematology,0,UCSF Med Ctr,San Francisco,CA
"Dr. Willis Navarro, MD",Hematology,0,UCSF Med Ctr,San Francisco,CA
"Dr. Kristen Hege, MD",Hematology,4,UCSF Med Ctr,San Francisco,CA
"Dr. David Hoffman, MD",Pediatrics,5,Highland Hospital,Oakland,CA
"Dr. Eve Rodler, MD",Hematology,5,Martinez Outpatient Clinic,Martinez,CA
"Dr. Karin Gaensler, MD",Hematology,2,UCSF Med Ctr,San Francisco,CA
"Dr. Lloyd Damon, MD",Hematology,0,UCSF Med Ctr,San Francisco,CA
"Dr. Donald German, MD",Pediatrics,5,Asthma and Allergy Clinic,Greenbrae,CA
"Dr. Jenny Lee, MD",Nephrology,0,Nephrology Clinic,San Carlos,CA
"Dr. Gary Hartman, MD",Pediatric Surgery,5,Children's Specialty Clinic,Palo Alto,CA
"Dr. Cyrus Shariat, MD",Critical Care Medicine,5,Washington Hospital,Fremont,CA
"Dr. Matias Bruzoni, MD",Pediatric Surgery,0,Children's Specialty Clinic,Palo Alto,CA
"Dr. Claudia Mueller, MD",Pediatric Surgery,4,Children's Specialty Clinic,Palo Alto,CA
"Dr. Catherine Smith, MD",Hematology,5,UCSF Med Ctr,San Francisco,CA
"Dr. Monica Bhargava, MD",Critical Care Medicine,0,EDEN MEDICAL CENTER,Castro Valley,CA
"Dr. Thomas Chen, MD",Medical Oncology,3.5,Stanford Cancer Center,San Jose,CA
"Dr. Martha Man, MD",Medical Oncology,5,Stanford Cancer Center,San Jose,CA
"Dr. Tianli Pan, MD",Critical Care Medicine,0,EDEN MEDICAL CENTER,Castro Valley,CA
"Dr. Adour Adrouny, MD",Hematology,5,The Cancer Center,Los Gatos,CA
"Dr. Rudolf Buntic, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. Bauback Safa, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. Shahram Abbassi, MD",Pain Medicine,3.5,MAD RIVER COMMUNITY HOSPITAL,Arcata,CA
"Dr. Gregory Buncke, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. May Chen, MD",Oncology,4.5,Stanford Cancer Center,San Jose,CA
"Dr. Suresh Mahawar, MD",Physical Medicine & Rehabilitation,5,Mahawar Medical Center,Fremont,CA
"Dr. James Han, MD",Sports Medicine,3,Comprehensive Pain Medical Center,Pleasanton,CA
"Dr. Bauback Safa, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. Robert Hansen, MD",Pain Medicine,2.5,Therapeutic Pain Management Medical Clinic,Redding,CA
"Dr. Michael Levin, MD",Pain Medicine,2.5,Sacramento Pain Clinic,Sacramento,CA
"Dr. Mark Heinrich, DO",Emergency Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Nikhraj Brar, MD",Pain Medicine,5,Oroville Hospital,Oroville,CA
"Dr. Patricia Harman, MD",Emergency Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Timothy Huber, MD",Emergency Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Peter Russo, MD",Emergency Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Sief Naser, MD",Emergency Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Roy Shannon, MD",Internal Medicine,0,Oroville Hospital,Oroville,CA
"Dr. Robert Aptekar, MD",Orthopedic Surgery,4,Arthritis and Orthopedic Medical Center,Los Gatos,CA
"Dr. Brent Bills, MD",Family Medicine,0,Feather River Hospital,Paradise,CA
"Dr. Michael Butcher, MD",Orthopedic Surgery,2,Arthritis and Orthopedic Medical Center,Los Gatos,CA
"Dr. Daljeet Sagoo, DO",Orthopedic Surgery,5,Arthritis and Orthopedic Medical Center,Los Gatos,CA
"Dr. Harpreet Singh, MD",Pain Medicine,4,Mind and Body Pain Clinic,San Jose,CA
"Dr. Lisa Kroopf, MD",Physical Medicine & Rehabilitation Pain Medicine,3.5,Salinas Valley Medical Clinic,Salinas,CA
"Dr. Matthew Miller, MD",Joint Replacement & Reconstruction Orthopedics,4.5,STANFORD HEALTH CARE,Los Gatos,CA
"Dr. Lawrence Poree, MD",Pain Medicine,2,Pain Clinic,Aptos,CA
"Dr. Linda Wolbers, MD",Pain Medicine,3.5,Pain Clinic,Aptos,CA
"Dr. Kevin Stone, MD",Orthopedic Surgery,4,The Stone Clinic,San Francisco,CA
"Dr. William Hencke Jr, MD",Pain Medicine,5,DOMINICAN HOSPITAL,Santa Cruz,CA
"Dr. Bobby Tay, MD",Orthopedic Surgery,4,UCSF Medical Center,San Francisco,CA
"Dr. Frederick Buechel Jr, MD",Orthopedic Surgery,5,The Stone Clinic,San Francisco,CA
"Dr. Rudolf Buntic, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. Gregory Buncke, MD",Orthopedic Hand Surgery,5,The Buncke Clinic,San Francisco,CA
"Dr. Kevin Stone, MD",Orthopedic Surgery,4,The Stone Clinic,San Francisco,CA
"Dr. Chunbong Ma, MD",Sports Medicine,5,UCSF Medical Ctr,San Francisco,CA
"Dr. David Chong, MD",Orthopedic Surgery,0,UNIVERSITY OF ALABAMA HOSPITAL,Birmingham,AL
"Dr. Daniel Mirelman, MD",General Surgery,4.5,Brookwood Medical Ctr,Birmingham,AL
"Dr. Molinda Chartrand, MD",Developmental-Behavioral Pediatrics,0,BOSTON MEDICAL CENTER,Boston,MA
"Dr. Jerry Hall, MD",Developmental-Behavioral Pediatrics,5,Temple Specialty Clinic,Temple,TX
"Dr. Susan Anderson, MD",Developmental-Behavioral Pediatrics,4,UVA Children's Hospital,Charlottesville,VA
"Dr. Miriam Halpern, MD",Developmental-Behavioral Pediatrics,4.5,University of Virginia Medical Center,Charlottesville,VA
"Dr. Julie Bickel, MD",Developmental-Behavioral Pediatrics,0,Boston Children's Hospital,Boston,MA
"Dr. Eugenia Chan, MD",Developmental-Behavioral Pediatrics,0,Boston Children's Hospital,Boston,MA
"Dr. Judith Owens, MD",Sleep Medicine,0,Boston Children's Hospital,Waltham,MA
"Dr. William Barbaresi, MD",Developmental-Behavioral Pediatrics,0,Boston Children's Hospital,Boston,MA
"Dr. Ronald Becker, MD",Developmental-Behavioral Pediatrics,3.5,Boston Children's Hospital,Boston,MA
"Dr. Lisa Albers Prock, MD",Developmental-Behavioral Pediatrics,4,Boston Children's Hospital,Boston,MA
"Dr. Cheryl Coldwater, MD",Pediatrics,4,Family Medical Center,Cedar Park,TX
"Dr. Judith Palfrey, MD",Developmental-Behavioral Pediatrics,0,Boston Children's Hospital,Boston,MA
"Dr. Kimberly Macferran, MD",Developmental-Behavioral Pediatrics,3,White Memorial Hospital,Temple,TX
"Dr. Elizabeth Harstad, MD",Developmental-Behavioral Pediatrics,5,Boston Children's Hospital,Boston,MA
"Dr. Carolyn Bridgemohan, MD",Developmental-Behavioral Pediatrics,5,Boston Children's Hospital,Boston,MA
"Dr. Robin Hansen, MD",Developmental-Behavioral Pediatrics,0,UC Davis Mind Institute Clinic,Sacramento,CA
"Dr. Sharon Levy, MD",Developmental-Behavioral Pediatrics,0,Boston Children's Hospital,Boston,MA
"Dr. Richard Kingsley, MD",Child & Adolescent Psychiatry,5,Alfred I. duPont Hospital,Wilmington,DE
"Dr. Lauren Plumer, MD",Developmental-Behavioral Pediatrics,0,UC Davis Mind Institute Clinic,Sacramento,CA
"Dr. Panayiota Koroulakis, MD",Pediatrics,4,Kaiser Permanente Kensington,Kensington,MD
"Dr. Nestor Alvarado, MD",Pediatrics,5,Kaiser Permanente Gaithersburg Medical Center,Gaithersburg,MD
"Dr. Ann Hellerstein, MD",Pediatrics,4.5,Kaiser Permanente Gaithersburg Medical Center,Gaithersburg,MD
"Dr. Marc Difazio, MD",Pediatric Neurology,4.5,s National Medical Center,Rockville,MD
"Dr. Anthony Dekker, DO",Osteopathic Manipulative Therapy,4,FORT BELVOIR COMMUNITY HOSPITAL,Fort Belvoir,VA
"Dr. Tanya Cothran-Ross, MD",Pediatrics,3,Kaiser Permanente Gaithersburg Medical Center,Gaithersburg,MD
"Dr. Sima Bakalian, MD",Pediatrics,3,Kaiser Permanente Gaithersburg Medical Center,Gaithersburg,MD
"Dr. Susan Mathew, DO",Osteopathic Manipulative Therapy,5,INTEGRIS SOUTHWEST MEDICAL CENTER,Oklahoma City,OK
"Dr. Sarah Woessner, MD",Family Medicine,5,Kaiser Permanente,Springfield,VA
"Dr. Roger Packer, MD",Pediatrics,5,Childrens National Medical Ctr,Washington,DC
"Dr. Jessica Carpenter, MD",Pediatrics,5,Childrens National Medical Ctr,Washington,DC
"Dr. Jonathan Pincus, MD",Neurology,1,GEORGETOWN UNIVERSITY HOSPITAL,Washington,DC
"Dr. Hyo Park, DO",Neuromusculoskeletal Medicine,5,Mannboro Medical Center,Amelia Court House,VA
"Dr. Carrie Dougherty, MD",Neurology,5,MedStar Georgetown University Hospital,Washington,DC
"Dr. Kenneth Rosenbaum, MD",Pediatrics,5,CHILDRENS NATIONAL MED CTR,Washington,DC
"Dr. Karen Fratantoni, MD",Pediatrics,5,CHILDRENS NATIONAL MED CTR,Washington,DC
"Dr. Melvin Kong, MD",Neurology,5,Kaiser Permanente Capitol Hill Medical Center,Washington,DC
"Dr. William Bara-Jimenez, MD",Neurology,3.5,Bethesda Neuroscience Clinic,Rockville,MD
"Dr. Brigit Venza, MD",Neurology,5,Kaiser Permanente Capitol Hill Medical Center,Washington,DC
"Dr. Jane Grayson, MD",Pediatric Hematology & Oncology,5,Innova Alexandria Cancer Center,Alexandria,VA
"Dr. Michael Douvas, MD",Hematology,5,Emily Couric Clinical Cancer Center,Charlottesville,VA
"Dr. Tamila Kindwall-Keller, MD",Hematology,0,Emily Couric Clinical Cancer Center,Charlottesville,VA
"Dr. Mary Laughlin, MD",Hematology,5,Emily Couric Clinical Cancer Center,Charlottesville,VA
"Dr. Amanda Taylor, MD",Psychiatry,5,Geisinger Medical Center,Danville,PA
"Dr. Marie Rueve, MD",Psychiatry,5,Co Director Neurosciences Geisinger Health System,Danville,PA
"Dr. Robert Gerstman, DO",Psychiatry,3.5,Geisinger Medical Center,Danville,PA
"Dr. John Densmore, MD",Hematology,5,Emily Couric Clinical Cancer Center,Charlottesville,VA
"Dr. Bettina Welz, MD",Psychiatry,3.5,Psychological Clinic,University Park,PA
"Dr. Norma Yohai, MD",Psychiatry,0,Geisinger Medical Center,Danville,PA
"Dr. Stephen Paolucci, MD",Psychiatry,0,Geisinger Medical Center,Danville,PA
"Dr. Raja Abbas, MD",Geriatric Psychiatry,4.5,Ethos Clinic,Palmerton,PA
"Dr. William Grosh Sr, MD",Oncology,5,Emily Couric Clinical Cancer Center,Charlottesville,VA
"Dr. Victoria Stout, DO",Psychiatry,0,Student Health Ctr,University Park,PA
"Dr. Bruce Cohen, MD",Forensic Psychiatry,5,University of Virginia Medical Center,Charlottesville,VA
"Dr. Kimberly Sanders, MD",Psychiatry,0,Loyola University Medical Center,Charlottesville,VA
"Dr. Bankole Johnson, MD",Psychiatry,0,UVA HOSPITAL,Charlottesville,VA
